Date,Open,High,Low,Close,Adj Close,Volume
2020-07-14,1608.28,1617.36,1577.33,1598.75,1598.75,144740400
2020-07-15,1601.52,1605.26,1585.56,1585.56,1585.56,133790000
2020-07-16,1583.32,1599.53,1572.11,1573.48,1573.48,94192100
2020-07-17,1563.01,1599.59,1563.01,1596.33,1596.33,181775800
2020-07-20,1607.35,1609.02,1580.39,1589.45,1589.45,136294000
2020-07-21,1588.42,1601.81,1587.86,1595.93,1595.93,147303200
2020-07-22,1594.05,1599.57,1586.27,1586.98,1586.98,118174700
2020-07-23,1586.97,1607.8,1585.45,1606.42,1606.42,104270000
2020-07-24,1603.3,1605.21,1585.11,1589.61,1589.61,117983500
2020-07-27,1594.68,1595,1585.24,1591.48,1591.48,89988600
2020-07-28,1594.64,1609.94,1593.24,1609.94,1609.94,138510800
2020-07-29,1610.13,1618.01,1589.98,1611.42,1611.42,112190000
2020-07-30,1614.02,1614.35,1584.95,1603.75,1603.75,126475200
2020-08-03,1595.01,1599.34,1570.18,1572.61,1572.61,148578200
2020-08-04,1578.24,1580.87,1549.62,1575.94,1575.94,142530200
2020-08-05,1578.82,1579.91,1566.87,1568.13,1568.13,115800000
2020-08-06,1577.47,1588.57,1575.4,1588.57,1588.57,88750000
2020-08-07,1590.54,1591.08,1578.14,1578.14,1578.14,78209400
2020-08-10,1579.29,1579.29,1558.07,1571.66,1571.66,65970000
2020-08-11,1580.17,1581.93,1564.74,1564.74,1564.74,80677300
2020-08-12,1558.82,1564.38,1539.61,1556.64,1556.64,147372000
2020-08-13,1564.13,1576.42,1561.17,1576.42,1576.42,103047400
2020-08-14,1578.79,1579.63,1561.18,1564.59,1564.59,113661000
2020-08-17,1561.94,1567.55,1543.04,1560.74,1560.74,102190000
2020-08-18,1559.64,1577.85,1557.25,1577.85,1577.85,122344500
2020-08-19,1576.38,1584.36,1570.7,1575.38,1575.38,108285500
2020-08-21,1574.79,1579.01,1568.98,1577.12,1577.12,194313500
2020-08-24,1578.55,1581.27,1567.1,1568.58,1568.58,119426200
2020-08-25,1563.35,1569.58,1552.92,1554.96,1554.96,125072300
2020-08-26,1554.75,1558.95,1538.26,1549.58,1549.58,129083600
2020-08-27,1548.21,1554.78,1544.12,1554.78,1554.78,132430100
2020-08-28,1555.05,1558.29,1525.21,1525.21,1525.21,265628700
2020-09-01,1541.55,1541.99,1520.2,1521.43,1521.43,215671500
2020-09-02,1525.12,1537.54,1523.69,1537.54,1537.54,146423000
2020-09-03,1540.64,1544.18,1507.58,1515.4,1515.4,227392200
2020-09-04,1504.62,1519.28,1498.72,1515.86,1515.86,123115500
2020-09-07,1514.63,1520.89,1507.57,1516.38,1516.38,94876900
2020-09-08,1518.5,1519.32,1494.19,1519.32,1519.32,177379900
2020-09-09,1505.74,1505.74,1490.53,1496.72,1496.72,233845100
2020-09-10,1502.22,1504.03,1474.23,1490.12,1490.12,280828000
