Date,Open,High,Low,Close,Adj Close,Volume
19-Oct-20,"1,507.21","1,521.91","1,505.92","1,518.11","1,518.11","132,510,200"
16-Oct-20,"1,519.33","1,520.31","1,503.84","1,503.84","1,503.84","152,911,800"
15-Oct-20,"1,521.44","1,524.03","1,512.96","1,513.95","1,513.95","134,270,100"
14-Oct-20,"1,523.57","1,524.23","1,516.10","1,523.25","1,523.25","217,994,300"
13-Oct-20,"1,514.18","1,527.04","1,512.46","1,525.20","1,525.20","134,541,300"
12-Oct-20,"1,525.92","1,526.02","1,512.74","1,518.43","1,518.43","111,076,300"
9-Oct-20,"1,516.94","1,532.53","1,512.74","1,530.35","1,530.35","87,613,900"
8-Oct-20,"1,495.52","1,519.43","1,495.28","1,519.43","1,519.43","89,887,800"
7-Oct-20,"1,509.24","1,510.35","1,489.56","1,489.56","1,489.56","136,587,800"
6-Oct-20,"1,515.70","1,522.32","1,508.18","1,509.47","1,509.47","114,933,600"
5-Oct-20,"1,501.08","1,513.37","1,498.81","1,512.43","1,512.43","147,917,700"
2-Oct-20,"1,494.84","1,501.85","1,489.66","1,500.30","1,500.30","122,647,500"
1-Oct-20,"1,501.58","1,503.86","1,491.13","1,496.77","1,496.77","84,881,100"
30-Sep-20,"1,505.77","1,512.95","1,497.78","1,504.82","1,504.82","110,856,400"
29-Sep-20,"1,512.75","1,517.33","1,503.90","1,503.90","1,503.90","171,248,200"
28-Sep-20,"1,510.26","1,519.05","1,507.35","1,511.66","1,511.66","126,847,900"
25-Sep-20,"1,507.95","1,516.00","1,505.05","1,509.14","1,509.14","161,816,600"
24-Sep-20,"1,494.72","1,506.60","1,492.98","1,500.80","1,500.80","209,154,000"
23-Sep-20,"1,507.29","1,509.15","1,491.17","1,496.48","1,496.48","145,529,900"
22-Sep-20,"1,495.28","1,511.90","1,494.93","1,505.78","1,505.78","135,822,100"
21-Sep-20,"1,510.42","1,511.77","1,496.97","1,499.43","1,499.43","156,236,400"
18-Sep-20,"1,511.78","1,524.07","1,503.43","1,506.63","1,506.63","284,135,400"
17-Sep-20,"1,541.14","1,541.14","1,508.01","1,513.07","1,513.07","314,591,800"
15-Sep-20,"1,510.36","1,532.04","1,503.19","1,531.28","1,531.28","182,127,100"
14-Sep-20,"1,513.43","1,515.66","1,506.41","1,511.36","1,511.36","247,327,400"
11-Sep-20,"1,486.23","1,505.89","1,477.47","1,504.85","1,504.85","323,100,600"
10-Sep-20,"1,502.22","1,504.03","1,474.23","1,490.12","1,490.12","280,828,000"
9-Sep-20,"1,505.74","1,505.74","1,490.53","1,496.72","1,496.72","233,845,100"
8-Sep-20,"1,518.50","1,519.32","1,494.19","1,519.32","1,519.32","177,379,900"
7-Sep-20,"1,514.63","1,520.89","1,507.57","1,516.38","1,516.38","94,876,900"
4-Sep-20,"1,504.62","1,519.28","1,498.72","1,515.86","1,515.86","123,115,500"
3-Sep-20,"1,540.64","1,544.18","1,507.58","1,515.40","1,515.40","227,392,200"
2-Sep-20,"1,525.12","1,537.54","1,523.69","1,537.54","1,537.54","146,423,000"
1-Sep-20,"1,541.55","1,541.99","1,520.20","1,521.43","1,521.43","215,671,500"
28-Aug-20,"1,555.05","1,558.29","1,525.21","1,525.21","1,525.21","265,628,700"
27-Aug-20,"1,548.21","1,554.78","1,544.12","1,554.78","1,554.78","132,430,100"
26-Aug-20,"1,554.75","1,558.95","1,538.26","1,549.58","1,549.58","129,083,600"
25-Aug-20,"1,563.35","1,569.58","1,552.92","1,554.96","1,554.96","125,072,300"
24-Aug-20,"1,578.55","1,581.27","1,567.10","1,568.58","1,568.58","119,426,200"
21-Aug-20,"1,574.79","1,579.01","1,568.98","1,577.12","1,577.12","194,313,500"
19-Aug-20,"1,576.38","1,584.36","1,570.70","1,575.38","1,575.38","108,285,500"
18-Aug-20,"1,559.64","1,577.85","1,557.25","1,577.85","1,577.85","122,344,500"
17-Aug-20,"1,561.94","1,567.55","1,543.04","1,560.74","1,560.74","102,190,000"
14-Aug-20,"1,578.79","1,579.63","1,561.18","1,564.59","1,564.59","113,661,000"
13-Aug-20,"1,564.13","1,576.42","1,561.17","1,576.42","1,576.42","103,047,400"
12-Aug-20,"1,558.82","1,564.38","1,539.61","1,556.64","1,556.64","147,372,000"
11-Aug-20,"1,580.17","1,581.93","1,564.74","1,564.74","1,564.74","80,677,300"
10-Aug-20,"1,579.29","1,579.29","1,558.07","1,571.66","1,571.66","65,970,000"
7-Aug-20,"1,590.54","1,591.08","1,578.14","1,578.14","1,578.14","78,209,400"
6-Aug-20,"1,577.47","1,588.57","1,575.40","1,588.57","1,588.57","88,750,000"
5-Aug-20,"1,578.82","1,579.91","1,566.87","1,568.13","1,568.13","115,800,000"
4-Aug-20,"1,578.24","1,580.87","1,549.62","1,575.94","1,575.94","142,530,200"
3-Aug-20,"1,595.01","1,599.34","1,570.18","1,572.61","1,572.61","148,578,200"
30-Jul-20,"1,614.02","1,614.35","1,584.95","1,603.75","1,603.75","126,475,200"
29-Jul-20,"1,610.13","1,618.01","1,589.98","1,611.42","1,611.42","112,190,000"
28-Jul-20,"1,594.64","1,609.94","1,593.24","1,609.94","1,609.94","138,510,800"
27-Jul-20,"1,594.68","1,595.00","1,585.24","1,591.48","1,591.48","89,988,600"
24-Jul-20,"1,603.30","1,605.21","1,585.11","1,589.61","1,589.61","117,983,500"
23-Jul-20,"1,586.97","1,607.80","1,585.45","1,606.42","1,606.42","104,270,000"
22-Jul-20,"1,594.05","1,599.57","1,586.27","1,586.98","1,586.98","118,174,700"
21-Jul-20,"1,588.42","1,601.81","1,587.86","1,595.93","1,595.93","147,303,200"
20-Jul-20,"1,607.35","1,609.02","1,580.39","1,589.45","1,589.45","136,294,000"
17-Jul-20,"1,563.01","1,599.59","1,563.01","1,596.33","1,596.33","181,775,800"
16-Jul-20,"1,583.32","1,599.53","1,572.11","1,573.48","1,573.48","94,192,100"
15-Jul-20,"1,601.52","1,605.26","1,585.56","1,585.56","1,585.56","133,790,000"
14-Jul-20,"1,608.28","1,617.36","1,577.33","1,598.75","1,598.75","144,740,400"
